geoid,total,hispanic,white,black,indian,asian,pacific
040019426001,570,0,0,0,570,0,0
040019426002,720,0,0,0,715,0,0
040019427001,810,0,0,0,810,0,0
040019427002,1350,10,15,4,1280,4,4
040019427003,715,4,4,0,700,4,0
040019427004,990,0,10,0,970,0,0
040019440001,1050,0,4,0,1030,0,0
040019440002,1705,30,90,50,1465,60,0
040019440003,2015,0,40,0,1925,0,0
040019441001,865,0,0,0,865,0,0
040019441002,990,0,0,0,985,0,0
040019441003,610,0,0,0,610,0,0
040019441004,1275,90,155,15,995,15,0
040019441005,575,0,0,0,575,0,0
040019442011,600,0,15,0,570,0,0
040019442012,470,15,30,0,405,0,0
040019442013,1655,0,130,25,1495,0,0
040019442021,1695,0,0,0,1685,0,0
040019442022,935,4,15,0,910,0,0
040019443001,485,20,20,0,450,0,0
040019443002,975,4,40,0,935,0,0
040019443003,1105,0,4,0,1100,0,0
040019443004,1045,0,4,0,1035,0,0
040019443005,695,0,0,0,690,0,0
040019449011,435,4,25,4,395,0,0
040019449012,380,0,0,0,380,0,0
040019449013,465,4,10,0,450,0,0
040019449014,415,0,40,0,370,4,0
040019449015,985,10,4,0,950,0,4
040019449021,1235,30,0,0,1205,0,0
040019449022,720,20,20,10,670,0,0
040019449023,730,0,0,0,730,0,0
040019449024,1025,4,30,20,955,0,0
040019450011,1040,50,50,15,915,0,0
040019450012,435,0,15,0,420,0,0
040019450013,750,10,25,0,715,0,0
040019450014,960,10,15,0,935,0,0
040019450021,1200,4,10,0,1175,0,0
040019450022,870,0,50,0,820,0,0
040019450023,970,25,15,15,920,0,0
040019451001,1155,30,25,4,1095,0,0
040019451002,710,70,60,0,580,0,0
040019702001,2020,110,1720,35,25,45,0
040019702002,1025,145,780,45,10,20,0
040019702003,605,0,400,0,205,0,0
040019703001,1535,355,980,35,130,4,0
040019703002,505,255,180,55,10,0,0
040019703003,980,455,465,60,0,0,0
040019705011,880,75,775,0,30,0,0
040019705012,720,75,600,0,45,0,0
040019705013,840,155,605,4,60,0,0
040019705014,865,220,630,0,4,0,0
040019705021,1080,75,980,0,25,0,0
040019705022,725,70,655,0,0,0,0
040019705023,1300,95,855,0,345,0,4
040030001001,675,210,420,0,15,0,0
040030001002,605,70,525,0,4,0,0
040030002011,1220,380,830,0,10,0,0
040030002012,1240,430,795,0,0,0,0
040030002021,565,230,315,0,0,0,0
040030002022,335,150,170,0,10,0,0
040030002023,895,555,295,15,4,0,25
040030002024,575,225,325,0,25,0,0
040030002031,575,70,505,0,0,0,0
040030002032,670,75,595,0,0,0,0
040030002033,840,155,685,0,0,0,0
040030003011,915,275,610,15,10,0,0
040030003012,760,150,595,0,0,0,0
040030003013,545,210,315,4,0,0,0
040030003014,725,210,515,0,0,0,0
040030003021,1200,225,975,0,0,0,0
040030003022,410,55,350,0,0,0,0
040030003023,850,160,620,35,0,0,0
040030003024,915,80,805,0,0,30,0
040030003031,620,120,500,0,0,0,0
040030003032,795,50,685,0,0,0,40
040030003033,1270,95,1175,0,0,0,0
040030004001,870,100,765,0,0,0,0
040030004002,820,155,665,0,0,0,0
040030005001,1020,140,855,20,4,0,0
040030005002,510,200,300,0,10,0,0
040030005003,795,70,695,4,15,4,0
040030005004,3935,1520,1440,710,205,0,20
040030006001,1560,895,545,75,30,0,0
040030006002,850,730,120,0,0,0,0
040030007001,500,470,35,0,0,0,0
040030007002,465,435,30,0,0,0,0
040030007003,460,405,55,0,0,0,0
040030007004,810,685,120,4,0,0,0
040030008001,685,505,180,0,0,0,0
040030008002,645,540,95,0,10,0,0
040030008003,600,495,105,0,0,0,0
040030008004,665,580,90,0,0,0,0
040030009011,295,295,0,0,0,0,0
040030009012,450,450,0,0,0,0,0
040030009013,305,305,0,0,0,0,0
040030009014,370,355,15,0,0,0,0
040030009021,275,245,15,0,4,0,0
040030009022,570,490,50,0,0,0,0
040030009023,365,270,95,0,0,0,0
040030010001,790,100,620,30,40,0,0
040030010002,445,30,370,0,45,0,0
040030011001,615,115,465,4,0,0,0
040030011002,1220,630,540,0,15,4,0
040030011003,475,165,310,0,0,0,0
040030012001,1035,160,835,4,4,15,0
040030012002,610,220,390,0,0,0,0
040030012003,725,425,285,4,0,0,0
040030013001,1060,95,905,15,0,0,0
040030013002,930,150,585,100,30,30,0
040030013003,670,120,455,35,10,15,4
040030013004,580,0,490,0,25,0,0
040030013005,950,40,880,0,0,15,0
040030014011,2645,410,1705,345,0,100,40
040030014012,205,50,115,15,0,0,0
040030014013,385,45,145,120,60,0,0
040030014021,0,0,0,0,0,0,0
040030014022,0,0,0,0,0,0,0
040030014023,630,70,440,40,0,45,0
040030015011,825,245,480,40,15,4,0
040030015012,360,40,200,45,15,50,0
040030015013,1150,280,595,100,0,150,0
040030015021,860,150,610,35,0,0,45
040030015022,725,285,405,10,0,4,20
040030015023,810,295,350,115,4,10,0
040030016011,825,225,515,65,0,0,0
040030016012,1375,390,830,95,0,55,0
040030016013,1590,450,855,135,0,60,25
040030016021,640,140,410,25,25,0,0
040030016022,430,55,310,15,4,4,0
040030016023,700,110,425,45,0,75,10
040030016024,875,200,455,60,4,100,0
040030017011,385,195,85,0,110,0,0
040030017012,785,25,680,0,0,50,0
040030017013,655,125,490,10,0,35,0
040030017014,1120,340,560,135,0,60,0
040030017021,1565,255,945,200,0,125,0
040030017022,1195,365,740,55,0,0,35
040030017031,2030,285,1410,155,0,50,30
040030017032,1320,325,800,120,10,30,15
040030018001,785,245,500,4,0,0,0
040030018002,1600,250,1100,85,0,160,0
040030018003,3530,700,2290,230,0,270,0
040030018004,1165,30,1095,0,25,15,0
040030019001,1500,140,1200,75,0,65,0
040030019002,1690,100,1465,0,0,60,0
040030019003,880,45,685,15,0,85,0
040030019004,1025,215,550,155,0,105,0
040030020011,850,310,510,30,0,0,0
040030020012,2130,930,1035,15,0,40,0
040030020013,1110,0,1110,0,4,0,0
040030020021,1015,150,805,40,0,0,0
040030020022,925,155,770,0,0,0,0
040030020023,1725,430,1170,35,60,20,0
040030021001,1635,420,1195,20,0,0,0
040030021002,1300,135,1170,0,0,0,0
040030021003,780,115,625,20,4,15,0
040050001001,970,90,870,0,4,10,0
040050001002,665,25,585,0,30,20,0
040050001003,1045,150,870,0,0,10,0
040050002001,1790,125,1570,0,65,15,0
040050002002,1105,200,710,4,175,10,0
040050003001,870,245,565,0,35,0,0
040050003002,1200,250,670,0,280,0,0
040050003003,1250,415,340,0,405,25,0
040050003004,405,185,185,0,20,0,0
040050004001,1265,280,940,10,35,0,0
040050004002,420,55,270,4,50,0,0
040050004003,965,105,710,40,85,0,15
040050004004,800,120,455,55,125,15,30
040050004005,325,75,235,0,10,0,0
040050005001,570,210,340,0,4,0,0
040050005002,800,90,535,0,130,0,0
040050005003,875,180,495,0,160,0,0
040050005004,360,60,230,0,60,0,0
040050005005,330,15,300,0,0,15,0
040050006001,1580,130,1360,0,15,80,0
040050006002,925,130,690,4,15,0,0
040050006003,1000,15,970,0,0,15,0
040050006004,715,40,615,0,4,35,0
040050007001,660,95,450,0,70,4,0
040050007002,2310,355,1545,10,165,65,0
040050008001,1010,290,495,10,195,0,0
040050008002,2955,400,1955,145,190,70,85
040050008003,1945,365,1080,25,300,35,0
040050009001,350,25,195,30,100,0,0
040050009002,2965,465,2180,30,200,70,0
040050009003,1345,325,665,60,200,25,0
040050010001,4445,725,3235,175,25,90,25
040050010002,3665,800,2215,195,135,75,30
040050010003,4100,785,2715,230,70,100,4
040050011011,950,95,755,4,15,35,0
040050011012,1290,285,950,0,45,0,0
040050011013,1320,105,1130,0,10,30,0
040050011021,2210,510,1260,0,400,20,0
040050011022,1710,145,1280,0,140,125,0
040050011023,845,105,520,25,30,55,0
040050011024,1295,210,860,40,55,80,0
040050012001,1085,110,885,0,60,25,0
040050012002,1095,45,955,0,25,25,0
040050013011,1105,85,870,0,150,0,0
040050013012,1380,140,1145,0,90,0,0
040050013013,1425,105,965,0,330,0,0
040050013021,1325,10,890,0,395,10,0
040050013022,2065,435,1575,0,45,10,0
040050013023,795,60,695,0,40,0,0
040050015001,615,75,525,0,0,0,0
040050015002,570,40,480,0,0,0,0
040050015003,585,0,425,0,160,0,0
040050015004,860,65,755,0,0,0,0
040050016001,725,10,690,10,0,10,0
040050016002,1130,165,960,0,0,0,0
040050016003,1010,25,985,0,0,0,0
040050017001,850,280,500,4,55,4,0
040050017002,615,115,455,25,0,0,0
040050017003,480,160,220,60,10,10,0
040050017004,600,80,490,0,30,0,0
040050020001,865,45,685,0,110,0,0
040050020002,770,100,580,15,60,15,0
040050021001,755,45,510,35,160,0,0
040050021002,630,110,340,0,175,0,0
040050021003,680,85,415,0,180,0,0
040050021004,585,0,430,0,155,0,0
040050021005,820,0,245,10,535,0,0
040050021006,1015,0,50,0,965,0,0
040050021007,540,85,260,0,200,0,0
040050022001,985,30,920,4,0,0,0
040050022002,1410,200,1195,0,0,0,0
040050022003,905,165,740,0,0,0,0
040050022004,860,30,600,0,125,105,0
040050022005,1200,15,1180,0,0,0,0
040050023001,365,40,270,4,40,0,0
040050023002,1065,150,755,0,40,35,0
040050023003,710,130,490,0,45,0,0
040050023004,1245,4,1155,0,4,15,0
040050023005,1795,185,935,55,560,10,0
040059422011,1275,25,4,4,1225,0,10
040059422012,555,0,4,0,545,0,4
040059422013,820,0,0,0,820,0,0
040059422021,385,0,4,0,385,0,0
040059422022,1380,10,4,0,1365,0,0
040059422023,565,10,0,0,540,10,0
040059449001,1770,0,105,0,1645,0,20
040059449002,1045,20,20,0,1005,0,0
040059449003,750,15,30,0,705,0,0
040059450001,1030,20,4,0,1005,0,0
040059450002,1125,10,10,0,1105,0,0
040059450003,815,10,0,0,810,0,0
040059451001,1005,4,10,0,990,4,0
040059451002,760,0,10,0,755,0,0
040059451003,570,10,4,4,555,0,0
040059451004,595,4,4,0,595,0,0
040059452001,615,0,60,4,550,0,0
040059452002,985,30,10,0,945,0,0
040059452003,1435,0,10,4,1375,0,0
040070001001,745,65,660,0,25,0,0
040070001002,820,30,750,0,40,0,0
040070001003,505,10,495,0,0,0,0
040070001004,395,0,390,0,0,0,0
